date,day_of_week,is_weekend,month,quarter,is_holiday,holiday_name
2024-01-01,Monday,False,1,1,True,New Year's Day
2024-01-02,Tuesday,False,1,1,False,
2024-01-03,Wednesday,False,1,1,False,
2024-01-04,Thursday,False,1,1,False,
2024-01-05,Friday,False,1,1,False,
2024-01-06,Saturday,True,1,1,False,
2024-01-07,Sunday,True,1,1,False,
2024-01-08,Monday,False,1,1,False,
2024-01-09,Tuesday,False,1,1,False,
2024-01-10,Wednesday,False,1,1,False,
2024-01-11,Thursday,False,1,1,False,
2024-01-12,Friday,False,1,1,False,
2024-01-13,Saturday,True,1,1,False,
2024-01-14,Sunday,True,1,1,False,
2024-01-15,Monday,False,1,1,False,
2024-01-16,Tuesday,False,1,1,False,
2024-01-17,Wednesday,False,1,1,False,
2024-01-18,Thursday,False,1,1,False,
2024-01-19,Friday,False,1,1,False,
2024-01-20,Saturday,True,1,1,False,
2024-01-21,Sunday,True,1,1,False,
2024-01-22,Monday,False,1,1,False,
2024-01-23,Tuesday,False,1,1,False,
2024-01-24,Wednesday,False,1,1,False,
2024-01-25,Thursday,False,1,1,False,
2024-01-26,Friday,False,1,1,False,
2024-01-27,Saturday,True,1,1,False,
2024-01-28,Sunday,True,1,1,False,
2024-01-29,Monday,False,1,1,False,
2024-01-30,Tuesday,False,1,1,False,
2024-01-31,Wednesday,False,1,1,False,
2024-02-01,Thursday,False,2,1,False,
2024-02-02,Friday,False,2,1,False,
2024-02-03,Saturday,True,2,1,False,
2024-02-04,Sunday,True,2,1,False,
2024-02-05,Monday,False,2,1,False,
2024-02-06,Tuesday,False,2,1,False,
2024-02-07,Wednesday,False,2,1,False,
2024-02-08,Thursday,False,2,1,False,
2024-02-09,Friday,False,2,1,False,
2024-02-10,Saturday,True,2,1,False,
2024-02-11,Sunday,True,2,1,False,
2024-02-12,Monday,False,2,1,False,
2024-02-13,Tuesday,False,2,1,False,
2024-02-14,Wednesday,False,2,1,False,
2024-02-15,Thursday,False,2,1,False,
2024-02-16,Friday,False,2,1,False,
2024-02-17,Saturday,True,2,1,False,
2024-02-18,Sunday,True,2,1,False,
2024-02-19,Monday,False,2,1,True,Presidents' Day
2024-02-20,Tuesday,False,2,1,False,
2024-02-21,Wednesday,False,2,1,False,
2024-02-22,Thursday,False,2,1,False,
2024-02-23,Friday,False,2,1,False,
2024-02-24,Saturday,True,2,1,False,
2024-02-25,Sunday,True,2,1,False,
2024-02-26,Monday,False,2,1,False,
2024-02-27,Tuesday,False,2,1,False,
2024-02-28,Wednesday,False,2,1,False,
2024-02-29,Thursday,False,2,1,False,
2024-03-01,Friday,False,3,1,False,
2024-03-02,Saturday,True,3,1,False,
2024-03-03,Sunday,True,3,1,False,
2024-03-04,Monday,False,3,1,False,
2024-03-05,Tuesday,False,3,1,False,
2024-03-06,Wednesday,False,3,1,False,
2024-03-07,Thursday,False,3,1,False,
2024-03-08,Friday,False,3,1,False,
2024-03-09,Saturday,True,3,1,False,
2024-03-10,Sunday,True,3,1,False,
2024-03-11,Monday,False,3,1,False,
