assignment_id,experiment_id,user_id,variant,assigned_date,first_exposure_date
1,1,16131,control,2024-08-02,2024-08-04
2,1,18798,treatment,2024-08-06,2024-08-09
3,1,19221,control,2024-08-03,2024-08-10
4,1,18592,treatment,2024-08-05,2024-08-06
5,1,4409,control,2024-08-04,2024-08-05
6,1,24840,treatment,2024-08-07,2024-08-12
7,1,22597,control,2024-08-05,2024-08-12
8,1,4365,treatment,2024-08-07,2024-08-19
9,1,22309,control,2024-08-01,2024-08-05
10,1,14579,treatment,2024-08-06,2024-08-14
11,1,19223,control,2024-08-04,2024-08-16
12,1,6408,treatment,2024-08-07,2024-08-11
13,1,12867,control,2024-08-01,2024-08-04
14,1,2359,treatment,2024-08-02,2024-08-13
15,1,22644,control,2024-08-05,2024-08-18
16,1,10229,treatment,2024-08-06,2024-08-18
17,1,13576,control,2024-08-06,2024-08-19
18,1,3338,treatment,2024-08-04,2024-08-13
19,1,2655,control,2024-08-02,2024-08-05
20,1,17870,treatment,2024-08-03,2024-08-07
21,1,20107,control,2024-08-07,2024-08-11
22,1,25362,treatment,2024-08-02,2024-08-04
23,1,26274,control,2024-08-05,2024-08-16
24,1,7359,treatment,2024-08-02,2024-08-12
25,1,13125,control,2024-08-05,2024-08-09
26,1,9731,treatment,2024-08-04,2024-08-11
27,1,11273,control,2024-08-04,2024-08-13
28,1,9329,treatment,2024-08-07,2024-08-17
29,1,15764,control,2024-08-04,2024-08-16
30,1,23115,treatment,2024-08-01,2024-08-05
31,1,12850,control,2024-08-06,2024-08-18
32,1,3898,treatment,2024-08-07,2024-08-10
33,1,7770,control,2024-08-04,2024-08-11
34,1,14105,treatment,2024-08-03,2024-08-14
35,1,6435,control,2024-08-03,2024-08-16
36,1,23998,treatment,2024-08-04,2024-08-06
37,1,25790,control,2024-08-06,2024-08-06
38,1,2438,treatment,2024-08-05,2024-08-08
39,1,2292,control,2024-08-03,2024-08-07
40,1,20858,treatment,2024-08-03,2024-08-10
41,1,9055,control,2024-08-03,2024-08-14
42,1,9431,treatment,2024-08-02,2024-08-10
43,1,19947,control,2024-08-06,2024-08-16
44,1,18237,treatment,2024-08-04,2024-08-14
45,1,6307,control,2024-08-04,2024-08-09
46,1,21402,treatment,2024-08-07,2024-08-20
