membership_id,user_id,plan_type,started_at,ended_at,status,cancel_reason,is_current
1,28,plus_trial,2024-01-26 03:20:22,2024-02-09 03:20:22,expired,,False
2,38,plus_trial,2024-01-27 06:40:54,2024-02-10 06:40:54,converted,,False
3,38,plus_monthly,2024-12-06 06:40:54,,active,,True
4,41,plus_trial,2024-01-13 21:14:16,2024-01-27 21:14:16,expired,,False
5,47,plus_trial,2024-01-30 13:48:43,2024-02-13 13:48:43,expired,,False
6,52,plus_trial,2024-01-10 13:09:37,2024-01-24 13:09:37,converted,,False
7,52,plus_monthly,2024-12-19 13:09:37,,active,,True
8,53,plus_trial,2024-01-24 12:22:15,2024-02-07 12:22:15,expired,,False
9,88,plus_trial,2024-01-11 10:29:08,2024-01-25 10:29:08,expired,,False
10,91,plus_trial,2024-01-31 19:22:36,2024-02-14 19:22:36,converted,,False
11,91,plus_annual,2024-12-10 19:22:36,,active,,True
12,106,plus_trial,2024-01-08 05:54:00,2024-01-22 05:54:00,expired,,False
13,126,plus_trial,2024-01-20 12:58:51,2024-02-03 12:58:51,converted,,False
14,126,plus_annual,2024-12-29 12:58:51,,active,,True
15,136,plus_trial,2024-01-19 14:42:54,2024-02-02 14:42:54,expired,,False
16,147,plus_trial,2024-01-18 03:07:45,2024-02-01 03:07:45,converted,,False
17,147,plus_monthly,2024-03-02 03:07:45,2024-03-06 03:07:45,cancelled,other,False
18,167,plus_trial,2024-01-29 15:56:09,2024-02-12 15:56:09,converted,,False
19,167,plus_annual,2024-12-08 15:56:09,,active,,True
20,190,plus_trial,2024-01-29 21:35:50,2024-02-12 21:35:50,converted,,False
21,190,plus_monthly,2024-12-08 21:35:50,,active,,True
22,208,plus_trial,2024-01-15 14:34:50,2024-01-29 14:34:50,converted,,False
23,208,plus_monthly,2024-12-24 14:34:50,,active,,True
24,236,plus_trial,2024-01-27 17:45:08,2024-02-10 17:45:08,expired,,False
25,238,plus_trial,2024-01-28 07:28:23,2024-02-11 07:28:23,expired,,False
26,241,plus_trial,2024-01-22 02:14:21,2024-02-05 02:14:21,expired,,False
27,258,plus_trial,2024-01-14 18:51:57,2024-01-28 18:51:57,converted,,False
28,258,plus_annual,2024-12-23 18:51:57,,active,,True
29,266,plus_trial,2024-01-31 23:37:01,2024-02-14 23:37:01,converted,,False
30,266,plus_annual,2024-12-10 23:37:01,,active,,True
31,275,plus_trial,2024-01-06 05:40:33,2024-01-20 05:40:33,expired,,False
32,278,plus_trial,2024-01-09 14:53:27,2024-01-23 14:53:27,expired,,False
33,281,plus_trial,2024-01-27 17:41:02,2024-02-10 17:41:02,converted,,False
34,281,plus_annual,2024-12-06 17:41:02,,active,,True
35,289,plus_trial,2024-01-06 15:57:09,2024-01-20 15:57:09,converted,,False
36,289,plus_monthly,2024-01-20 15:57:09,2024-02-17 15:57:09,cancelled,other,False
37,307,plus_trial,2024-01-25 20:08:07,2024-02-08 20:08:07,converted,,False
38,307,plus_monthly,2024-11-04 20:08:07,2024-11-07 20:08:07,cancelled,price,False
39,324,plus_trial,2024-01-21 08:43:46,2024-02-04 08:43:46,expired,,False
40,353,plus_trial,2024-01-07 15:23:04,2024-01-21 15:23:04,converted,,False
41,353,plus_annual,2024-12-16 15:23:04,,active,,True
42,366,plus_trial,2024-02-03 15:27:35,2024-02-17 15:27:35,converted,,False
43,366,plus_annual,2024-12-13 15:27:35,,active,,True
44,378,plus_trial,2024-01-18 17:20:16,2024-02-01 17:20:16,converted,,False
45,378,plus_monthly,2024-04-01 17:20:16,2024-04-27 17:20:16,cancelled,not_using,False
46,389,plus_trial,2024-01-10 05:00:19,2024-01-24 05:00:19,expired,,False
47,394,plus_trial,2024-01-28 13:20:15,2024-02-11 13:20:15,expired,,False
48,395,plus_trial,2024-02-02 16:31:49,2024-02-16 16:31:49,expired,,False
49,422,plus_trial,2024-02-01 09:55:58,2024-02-15 09:55:58,expired,,False
50,423,plus_trial,2024-02-01 18:31:38,2024-02-15 18:31:38,expired,,False
51,425,plus_trial,2024-01-28 14:19:37,2024-02-11 14:19:37,converted,,False
52,425,plus_annual,2024-05-11 14:19:37,2024-05-16 14:19:37,cancelled,competitor,False
53,436,plus_trial,2024-01-29 06:47:54,2024-02-12 06:47:54,expired,,False
54,440,plus_trial,2024-01-29 07:44:06,2024-02-12 07:44:06,converted,,False
55,440,plus_monthly,2024-06-11 07:44:06,2024-06-29 07:44:06,cancelled,price,False
56,448,plus_trial,2024-01-16 14:57:02,2024-01-30 14:57:02,converted,,False
57,448,plus_monthly,2024-12-25 14:57:02,,active,,True
58,464,plus_trial,2024-02-03 15:40:33,2024-02-17 15:40:33,converted,,False
59,464,plus_annual,2024-09-14 15:40:33,2024-10-02 15:40:33,cancelled,other,False
60,474,plus_trial,2024-01-09 04:17:19,2024-01-23 04:17:19,converted,,False
61,474,plus_monthly,2024-12-18 04:17:19,,active,,True
62,479,plus_trial,2024-01-30 15:16:45,2024-02-13 15:16:45,expired,,False
63,485,plus_trial,2024-02-02 10:05:38,2024-02-16 10:05:38,expired,,False
64,487,plus_trial,2024-01-15 08:31:41,2024-01-29 08:31:41,converted,,False
65,487,plus_monthly,2024-06-27 08:31:41,2024-06-28 08:31:41,cancelled,price,False
66,494,plus_trial,2024-01-20 22:29:40,2024-02-03 22:29:40,expired,,False
67,508,plus_trial,2024-01-07 14:24:31,2024-01-21 14:24:31,converted,,False
68,508,plus_monthly,2024-12-16 14:24:31,,active,,True
69,511,plus_trial,2024-01-08 10:58:33,2024-01-22 10:58:33,converted,,False
70,511,plus_annual,2024-11-17 10:58:33,2024-11-20 10:58:33,cancelled,price,False
71,526,plus_trial,2024-01-10 02:50:29,2024-01-24 02:50:29,converted,,False
72,526,plus_monthly,2024-10-20 02:50:29,2024-10-24 02:50:29,cancelled,price,False
73,546,plus_trial,2024-01-06 20:13:26,2024-01-20 20:13:26,converted,,False
74,546,plus_annual,2024-09-16 20:13:26,2024-09-26 20:13:26,cancelled,other,False
75,565,plus_trial,2024-01-31 21:42:15,2024-02-14 21:42:15,expired,,False
76,603,plus_trial,2024-01-25 19:07:38,2024-02-08 19:07:38,expired,,False
77,616,plus_trial,2024-01-23 20:14:22,2024-02-06 20:14:22,expired,,False
78,622,plus_trial,2024-01-26 13:36:05,2024-02-09 13:36:05,expired,,False
79,630,plus_trial,2024-01-10 19:13:15,2024-01-24 19:13:15,converted,,False
80,630,plus_annual,2024-12-19 19:13:15,,active,,True
81,640,plus_trial,2024-01-25 06:42:04,2024-02-08 06:42:04,converted,,False
82,640,plus_monthly,2024-12-04 06:42:04,,active,,True
83,646,plus_trial,2024-01-20 05:26:29,2024-02-03 05:26:29,expired,,False
84,666,plus_trial,2024-01-31 18:17:21,2024-02-14 18:17:21,converted,,False
85,666,plus_annual,2024-12-10 18:17:21,,active,,True
86,688,plus_trial,2024-01-15 10:18:44,2024-01-29 10:18:44,converted,,False
87,688,plus_monthly,2024-12-24 10:18:44,,active,,True
88,697,plus_trial,2024-02-01 17:55:52,2024-02-15 17:55:52,expired,,False
89,709,plus_trial,2024-01-17 19:33:23,2024-01-31 19:33:23,expired,,False
90,753,plus_trial,2024-01-18 00:30:46,2024-02-01 00:30:46,converted,,False
91,753,plus_annual,2024-03-02 00:30:46,2024-03-16 00:30:46,cancelled,price,False
92,790,plus_trial,2024-01-27 07:14:27,2024-02-10 07:14:27,expired,,False
93,796,plus_trial,2024-01-20 02:17:05,2024-02-03 02:17:05,expired,,False
94,842,plus_trial,2024-02-02 05:57:24,2024-02-16 05:57:24,expired,,False
95,850,plus_trial,2024-01-31 19:47:30,2024-02-14 19:47:30,expired,,False
96,854,plus_trial,2024-01-12 22:51:33,2024-01-26 22:51:33,expired,,False
97,855,plus_trial,2024-01-15 16:20:32,2024-01-29 16:20:32,expired,,False
98,866,plus_trial,2024-01-10 15:20:44,2024-01-24 15:20:44,converted,,False
99,866,plus_annual,2024-12-19 15:20:44,,active,,True
100,903,plus_trial,2024-01-20 05:54:26,2024-02-03 05:54:26,expired,,False
101,920,plus_trial,2024-01-26 05:00:09,2024-02-09 05:00:09,expired,,False
102,933,plus_trial,2024-02-07 17:40:37,2024-02-21 17:40:37,expired,,False
103,936,plus_trial,2024-01-22 21:52:53,2024-02-05 21:52:53,converted,,False
104,936,plus_monthly,2024-12-01 21:52:53,,active,,True
105,939,plus_trial,2024-01-14 15:03:25,2024-01-28 15:03:25,expired,,False
106,955,plus_trial,2024-01-18 04:50:07,2024-02-01 04:50:07,converted,,False
107,955,plus_monthly,2024-12-27 04:50:07,,active,,True
108,956,plus_trial,2024-01-16 17:06:46,2024-01-30 17:06:46,expired,,False
109,958,plus_trial,2024-01-26 06:10:39,2024-02-09 06:10:39,expired,,False
110,974,plus_trial,2024-02-03 15:08:33,2024-02-17 15:08:33,expired,,False
111,976,plus_trial,2024-01-25 04:53:32,2024-02-08 04:53:32,expired,,False
112,988,plus_trial,2024-01-16 22:31:43,2024-01-30 22:31:43,expired,,False
113,998,plus_trial,2024-01-24 00:02:57,2024-02-07 00:02:57,expired,,False
114,1003,plus_trial,2024-01-20 22:23:51,2024-02-03 22:23:51,converted,,False
115,1003,plus_monthly,2024-12-29 22:23:51,,active,,True
116,1018,plus_trial,2024-01-16 03:36:19,2024-01-30 03:36:19,converted,,False
117,1018,plus_monthly,2024-10-26 03:36:19,2024-11-03 03:36:19,cancelled,not_using,False
118,1025,plus_trial,2024-01-20 11:56:37,2024-02-03 11:56:37,converted,,False
119,1025,plus_annual,2024-05-03 11:56:37,2024-05-10 11:56:37,cancelled,price,False
120,1026,plus_trial,2024-01-26 16:06:00,2024-02-09 16:06:00,converted,,False
121,1026,plus_annual,2024-12-05 16:06:00,,active,,True
122,1029,plus_trial,2024-02-03 22:16:32,2024-02-17 22:16:32,expired,,False
123,1039,plus_trial,2024-01-31 01:04:19,2024-02-14 01:04:19,converted,,False
124,1039,plus_monthly,2024-12-10 01:04:19,,active,,True
125,1041,plus_trial,2024-01-14 03:18:32,2024-01-28 03:18:32,expired,,False
126,1055,plus_trial,2024-01-18 15:58:45,2024-02-01 15:58:45,expired,,False
127,1070,plus_trial,2024-02-07 16:47:43,2024-02-21 16:47:43,expired,,False
128,1074,plus_trial,2024-02-07 13:06:22,2024-02-21 13:06:22,converted,,False
129,1074,plus_annual,2024-12-17 13:06:22,,active,,True
130,1085,plus_trial,2024-01-30 20:14:00,2024-02-13 20:14:00,converted,,False
131,1085,plus_annual,2024-12-09 20:14:00,,active,,True
132,1087,plus_trial,2024-01-21 08:23:39,2024-02-04 08:23:39,converted,,False
133,1087,plus_monthly,2024-12-30 08:23:39,,active,,True
134,1111,plus_trial,2024-01-27 23:49:40,2024-02-10 23:49:40,expired,,False
135,1116,plus_trial,2024-01-24 03:52:40,2024-02-07 03:52:40,expired,,False
136,1119,plus_trial,2024-01-12 20:17:49,2024-01-26 20:17:49,expired,,False
137,1131,plus_trial,2024-01-12 03:44:09,2024-01-26 03:44:09,converted,,False
138,1131,plus_monthly,2024-12-21 03:44:09,,active,,True
139,1142,plus_trial,2024-01-30 04:30:48,2024-02-13 04:30:48,converted,,False
140,1142,plus_monthly,2024-12-09 04:30:48,,active,,True
141,1180,plus_trial,2024-01-27 00:26:49,2024-02-10 00:26:49,converted,,False
142,1180,plus_annual,2024-12-06 00:26:49,,active,,True
143,1181,plus_trial,2024-01-12 00:43:05,2024-01-26 00:43:05,expired,,False
144,1182,plus_trial,2024-02-08 07:13:57,2024-02-22 07:13:57,expired,,False
145,1189,plus_trial,2024-01-24 12:34:06,2024-02-07 12:34:06,expired,,False
146,1197,plus_trial,2024-02-03 19:56:20,2024-02-17 19:56:20,converted,,False
147,1197,plus_annual,2024-12-13 19:56:20,,active,,True
148,1218,plus_trial,2024-01-23 18:56:07,2024-02-06 18:56:07,converted,,False
149,1218,plus_monthly,2024-03-07 18:56:07,2024-03-19 18:56:07,cancelled,price,False
150,1237,plus_trial,2024-01-22 14:53:33,2024-02-05 14:53:33,converted,,False
151,1237,plus_monthly,2024-12-01 14:53:33,,active,,True
