response_id,user_id,response_date,score,user_segment,device,comment
1,8315,2024-02-09,5,free,web,
2,2215,2024-03-08,9,free,ios,
3,243,2024-02-20,6,free,ios,
4,2738,2024-03-11,10,free,ios,
5,1577,2024-02-25,2,free,web,
6,3052,2024-03-16,9,free,ios,
7,2559,2024-03-10,7,free,ios,
8,2752,2024-03-19,9,free,ios,
9,3262,2024-01-01,5,free,ios,Checkout process is confusing on mobile.
10,4497,2024-02-15,9,free,ios,Too many emails from NovaMart.
11,7184,2024-01-09,9,free,ios,
12,7316,2024-03-15,8,free,ios,
13,3214,2024-01-16,10,free,web,Product didn't match description.
14,1486,2024-03-22,10,free,web,
15,4281,2024-01-13,9,free,ios,
16,1167,2024-01-25,10,free,android,Prices are reasonable.
17,2881,2024-02-24,10,free,ios,
18,6300,2024-03-24,10,free,android,
19,6265,2024-02-03,10,free,android,
20,5194,2024-01-12,7,free,ios,
21,2523,2024-03-18,6,free,ios,
22,1974,2024-01-31,8,free,android,
23,10341,2024-02-09,7,free,web,
24,2617,2024-02-07,10,free,web,
25,206,2024-01-15,6,free,web,
26,712,2024-01-23,7,free,ios,
27,9964,2024-02-02,9,free,android,Membership is worth it.
28,3521,2024-02-21,9,free,ios,
29,6594,2024-02-19,2,free,ios,
30,7545,2024-03-14,8,free,ios,Great deals during sales.
31,4501,2024-01-04,9,free,ios,Would recommend to friends.
32,6864,2024-02-14,10,free,web,
33,8588,2024-02-23,9,free,web,
34,121,2024-03-12,9,free,ios,
35,4177,2024-03-08,10,free,android,Need more payment options.
36,9843,2024-03-17,8,free,android,Delivery was on time.
37,1802,2024-03-27,9,free,web,
38,535,2024-02-29,9,free,ios,
39,6804,2024-02-15,5,free,android,
40,1538,2024-02-08,10,free,android,
41,2245,2024-01-27,5,free,ios,
42,3171,2024-02-02,5,free,android,App keeps crashing.
43,1333,2024-02-02,9,free,android,Membership is worth it.
44,3602,2024-01-02,10,free,web,
45,2207,2024-01-19,8,free,web,Too many emails from NovaMart.
46,545,2024-01-19,9,free,android,
47,1383,2024-02-15,9,free,ios,Checkout process is confusing on mobile.
48,9121,2024-02-25,5,free,web,Product didn't match description.
49,4456,2024-02-06,8,free,android,
50,8836,2024-02-13,9,free,web,
51,7042,2024-03-03,10,free,ios,Product didn't match description.
52,8142,2024-02-08,10,free,web,Prices are reasonable.
53,3247,2024-03-04,8,free,ios,
54,5127,2024-03-07,6,free,web,
55,8076,2024-01-17,10,free,android,
56,5103,2024-03-26,9,free,ios,Product didn't match description.
57,4811,2024-03-19,10,free,android,
58,528,2024-02-25,8,free,ios,
59,2767,2024-02-11,5,free,ios,
60,1415,2024-02-12,10,free,ios,
61,4233,2024-02-24,5,free,ios,Great deals during sales.
62,8032,2024-03-10,10,free,ios,
63,1632,2024-03-17,7,free,ios,
64,4888,2024-01-19,10,free,ios,
65,6427,2024-02-20,6,free,web,
66,8092,2024-03-14,10,free,web,
67,8678,2024-01-13,8,free,web,
68,9953,2024-03-24,1,free,web,
69,4031,2024-01-09,2,free,web,
70,4457,2024-02-04,5,free,web,
71,2911,2024-01-16,8,free,android,Had trouble with payment.
72,1361,2024-02-04,10,free,android,
73,9324,2024-01-23,6,free,web,
74,6710,2024-03-23,10,free,ios,Customer support was helpful.
75,9605,2024-02-09,7,free,android,Easy to use website.
76,6653,2024-02-01,9,free,android,
77,7077,2024-03-28,10,free,web,Found exactly what I needed.
78,6172,2024-01-28,5,free,android,Need more payment options.
79,4262,2024-01-26,7,free,web,
80,3636,2024-02-24,8,free,ios,
81,123,2024-01-08,10,free,android,
82,8077,2024-02-17,10,free,android,
83,5488,2024-03-02,9,free,ios,
84,625,2024-03-02,10,free,ios,Membership is worth it.
85,8858,2024-01-14,10,free,android,
86,6791,2024-03-03,10,free,web,
87,2419,2024-03-07,5,free,android,
88,5445,2024-01-14,8,free,ios,Had trouble with payment.
89,7640,2024-01-16,9,free,android,
90,3533,2024-02-14,10,free,android,"Great service, fast delivery!"
91,3684,2024-03-26,4,free,ios,
92,8904,2024-01-16,5,free,android,Return process was smooth.
93,9729,2024-03-18,9,free,ios,
94,270,2024-03-05,9,free,ios,
95,7529,2024-01-12,10,free,ios,Product didn't match description.
96,9626,2024-03-10,7,free,web,App keeps crashing.
97,4371,2024-02-21,5,free,ios,
98,8572,2024-02-08,4,free,android,Checkout process is confusing on mobile.
99,4058,2024-01-09,3,free,web,
100,3025,2024-03-20,9,free,web,
101,5348,2024-02-02,9,free,android,
102,7580,2024-03-19,10,free,ios,Not sure I'll renew my Plus membership.
103,1170,2024-02-04,8,free,web,Too many emails from NovaMart.
104,7864,2024-02-07,10,free,ios,App keeps crashing.
105,9536,2024-03-02,10,free,ios,
106,7434,2024-03-28,9,free,ios,
107,4814,2024-03-23,7,free,web,
108,1783,2024-02-02,9,free,web,
109,6536,2024-03-31,8,free,android,
110,7232,2024-02-17,7,free,ios,Return process was smooth.
111,8687,2024-01-14,10,free,ios,
112,6862,2024-02-24,9,free,web,
113,3143,2024-01-20,9,free,web,
114,3407,2024-01-22,8,free,android,Need more payment options.
115,9917,2024-01-11,7,free,android,Delivery was on time.
116,2125,2024-01-15,10,free,ios,App keeps crashing.
117,5344,2024-03-20,9,free,android,Love the product selection.
118,2223,2024-02-21,10,free,web,
119,3257,2024-02-06,9,free,web,
120,3474,2024-02-20,10,free,web,
121,3289,2024-01-04,9,free,android,
122,6752,2024-03-10,6,free,web,
123,949,2024-02-21,7,free,web,Great deals during sales.
124,7543,2024-02-17,10,free,web,Great deals during sales.
125,8052,2024-03-31,9,free,ios,
