order_item_id,order_id,product_id,quantity,unit_price,discount_amount,line_total
1,1,389,1,64.86,6.49,58.37
2,2,442,1,27.01,2.7,24.31
3,3,169,1,8.47,0.85,7.62
4,4,252,2,39.59,7.92,71.26
5,5,284,1,33.19,3.32,29.87
6,5,37,1,65.63,6.56,59.07
7,6,423,1,21.44,2.14,19.3
8,6,170,1,17.01,1.7,15.31
9,7,252,1,39.59,3.96,35.63
10,7,361,1,29.34,2.93,26.41
11,7,10,1,47.38,4.74,42.64
12,8,275,1,43.91,4.39,39.52
13,8,299,1,54.37,5.44,48.93
14,9,151,1,14.79,1.48,13.31
15,10,245,1,11.11,1.11,10.0
16,10,107,2,30.14,6.03,54.25
17,11,203,1,20.96,2.1,18.86
18,11,314,1,21.71,2.17,19.54
19,12,229,1,5.99,0.6,5.39
20,12,127,1,65.43,6.54,58.89
21,13,382,1,53.45,5.35,48.1
22,13,27,1,50.05,5.0,45.05
23,13,95,1,42.49,4.25,38.24
24,14,25,1,69.73,6.97,62.76
25,14,82,1,43.63,4.36,39.27
26,15,444,1,15.06,1.51,13.55
27,16,395,2,35.28,7.06,63.5
28,16,178,1,48.57,4.86,43.71
29,16,232,1,48.52,4.85,43.67
30,17,21,1,85.64,8.56,77.08
31,18,296,1,34.53,3.45,31.08
32,19,453,1,14.91,1.49,13.42
33,20,120,1,152.03,15.2,136.83
34,20,415,1,92.83,9.28,83.55
35,21,472,1,26.97,2.7,24.27
36,21,24,1,35.85,3.59,32.26
37,22,184,1,20.13,2.01,18.12
38,23,128,1,18.81,1.88,16.93
39,23,500,1,31.96,3.2,28.76
40,24,77,1,77.28,7.73,69.55
41,25,434,1,57.87,5.79,52.08
42,25,265,1,54.9,5.49,49.41
43,25,394,1,35.93,3.59,32.34
44,26,280,1,31.58,3.16,28.42
45,27,89,1,39.4,3.94,35.46
46,27,11,1,34.7,3.47,31.23
47,28,489,1,42.01,4.2,37.81
48,28,361,1,29.34,2.93,26.41
49,29,107,1,30.14,3.01,27.13
50,29,442,2,27.01,5.4,48.62
51,29,375,1,88.33,8.83,79.5
52,30,181,2,35.95,7.19,64.71
53,30,368,1,55.85,5.59,50.26
54,31,444,1,15.06,1.51,13.55
55,32,206,1,28.91,2.89,26.02
56,33,205,1,149.27,14.93,134.34
57,34,491,1,22.39,2.24,20.15
58,35,322,1,57.91,5.79,52.12
59,36,341,1,105.98,10.6,95.38
60,37,39,2,47.18,9.44,84.92
61,38,268,1,25.99,2.6,23.39
62,38,330,1,12.26,1.23,11.03
63,38,34,1,138.12,13.81,124.31
64,39,153,2,34.83,6.97,62.69
65,40,210,2,33.28,6.66,59.9
66,41,328,1,15.42,1.54,13.88
67,42,90,1,28.17,2.82,25.35
68,43,297,1,26.6,2.66,23.94
69,44,147,1,23.91,2.39,21.52
70,45,323,1,35.93,3.59,32.34
71,45,295,1,14.63,1.46,13.17
72,45,215,1,53.07,5.31,47.76
73,46,480,1,11.5,1.15,10.35
74,46,279,1,64.01,6.4,57.61
75,46,321,1,72.18,7.22,64.96
76,47,216,1,13.19,1.32,11.87
77,48,65,1,40.41,4.04,36.37
78,48,9,1,13.52,1.35,12.17
79,49,109,1,5.99,0.6,5.39
80,50,385,1,58.01,5.8,52.21
81,50,44,1,43.49,4.35,39.14
82,51,384,2,13.77,2.75,24.79
83,51,424,1,33.5,3.35,30.15
84,51,161,1,70.68,7.07,63.61
85,52,404,2,28.58,5.72,51.44
86,53,71,1,12.18,1.22,10.96
87,53,301,1,42.64,4.26,38.38
88,54,313,2,48.82,9.76,87.88
89,54,363,1,34.8,3.48,31.32
90,55,400,2,47.48,9.5,85.46
91,55,494,1,5.99,0.6,5.39
92,56,485,2,19.31,3.86,34.76
93,56,480,1,11.5,1.15,10.35
94,57,278,1,36.77,3.68,33.09
95,58,276,1,61.16,6.12,55.04
96,59,47,1,21.22,2.12,19.1
97,60,321,1,72.18,7.22,64.96
98,60,68,1,13.93,1.39,12.54
99,61,228,2,44.98,9.0,80.96
100,62,237,1,199.21,19.92,179.29
101,63,162,1,13.61,1.36,12.25
102,63,348,1,105.22,10.52,94.7
103,64,399,1,15.02,1.5,13.52
104,64,35,1,82.17,8.22,73.95
105,64,210,1,33.28,3.33,29.95
106,65,201,1,16.55,1.66,14.89
107,66,329,1,46.99,4.7,42.29
108,67,225,1,24.91,2.49,22.42
109,67,221,1,67.3,6.73,60.57
110,68,157,1,27.75,2.78,24.97
111,69,214,1,42.42,4.24,38.18
112,69,82,1,43.63,4.36,39.27
113,69,474,1,155.56,15.56,140.0
114,70,344,1,19.78,1.98,17.8
115,71,291,1,104.99,10.5,94.49
116,72,376,1,117.14,11.71,105.43
117,72,7,1,61.18,6.12,55.06
118,73,148,1,20.74,2.07,18.67
119,74,365,1,23.89,2.39,21.5
120,75,325,1,16.65,1.67,14.98
121,76,368,2,55.85,11.17,100.53
122,77,221,2,67.3,13.46,121.14
123,77,244,1,32.19,3.22,28.97
124,78,309,1,76.43,7.64,68.79
125,78,12,1,51.37,5.14,46.23
126,79,456,1,18.0,1.8,16.2
127,80,61,1,31.07,3.11,27.96
128,80,30,1,33.42,3.34,30.08
129,81,154,1,7.29,0.73,6.56
130,82,101,1,104.61,10.46,94.15
131,82,91,1,20.86,2.09,18.77
132,83,484,1,19.68,1.97,17.71
133,83,440,1,12.81,1.28,11.53
134,84,210,1,33.28,3.33,29.95
135,84,170,1,17.01,1.7,15.31
136,85,64,1,33.42,3.34,30.08
137,86,321,1,72.18,7.22,64.96
138,86,150,1,41.39,4.14,37.25
139,87,117,1,103.75,10.38,93.37
140,87,299,1,54.37,5.44,48.93
141,88,292,1,22.18,2.22,19.96
142,88,225,1,24.91,2.49,22.42
143,89,325,1,16.65,1.67,14.98
144,89,328,1,15.42,1.54,13.88
145,90,264,1,44.68,4.47,40.21
146,91,145,1,64.38,6.44,57.94
147,91,33,1,170.55,17.06,153.49
148,91,97,1,40.26,4.03,36.23
149,92,485,1,19.31,1.93,17.38
150,92,183,1,117.99,11.8,106.19
151,92,242,1,14.85,1.49,13.36
152,93,289,1,44.84,4.48,40.36
153,94,374,1,19.59,1.96,17.63
154,95,100,1,22.53,2.25,20.28
155,95,171,1,21.2,2.12,19.08
156,96,200,1,25.68,2.57,23.11
157,97,383,1,50.19,5.02,45.17
158,98,22,1,14.64,1.46,13.18
159,99,149,1,31.9,3.19,28.71
160,100,344,1,19.78,1.98,17.8
161,101,366,1,10.82,1.08,9.74
162,101,135,1,33.49,3.35,30.14
163,102,373,1,38.26,3.83,34.43
164,102,279,1,64.01,6.4,57.61
165,102,439,1,10.65,1.07,9.58
166,103,145,1,64.38,6.44,57.94
167,103,131,1,22.38,2.24,20.14
168,104,413,1,100.02,10.0,90.02
169,105,118,1,144.01,14.4,129.61
170,105,441,1,24.76,2.48,22.28
171,105,220,2,39.22,7.84,70.6
